Price,Close,High,Low,Open,Volume
Ticker,DKNG,DKNG,DKNG,DKNG,DKNG
Date,,,,,
2026-03-30,20.93000030517578,21.1299991607666,20.459999084472656,20.80500030517578,14711500
2026-03-31,21.6200008392334,21.719999313354492,20.70199966430664,20.829999923706055,11952300
2026-04-01,22.15999984741211,22.53499984741211,21.75,21.75,13290300
2026-04-02,23.15999984741211,23.225000381469727,21.829999923706055,21.829999923706055,10212800
2026-04-06,22.899999618530273,23.110000610351562,22.6200008392334,22.959999084472656,9352200
2026-04-07,22.950000762939453,23.190000534057617,22.790000915527344,22.899999618530273,7909600
2026-04-08,23.940000534057617,24.049999237060547,23.440000534057617,23.709999084472656,9945800
2026-04-09,22.25,23.729999542236328,22.170000076293945,23.700000762939453,15539900
2026-04-10,22.229999542236328,22.75,21.795000076293945,22.40999984741211,13028500
2026-04-13,22.510000228881836,22.80500030517578,21.71500015258789,22.020000457763672,11593700
2026-04-14,22.959999084472656,23.299999237060547,22.520000457763672,22.610000610351562,9978300
2026-04-15,23.639999389648438,24.0049991607666,23.059999465942383,23.290000915527344,8415500
2026-04-16,23.739999771118164,24.165000915527344,23.299999237060547,23.790000915527344,9865100
2026-04-17,22.81999969482422,24.280000686645508,22.65999984741211,24.170000076293945,16240600
2026-04-20,22.889999389648438,23.200000762939453,22.31999969482422,22.402000427246094,14588100
2026-04-21,22.989999771118164,23.540000915527344,22.75,22.959999084472656,10759900
2026-04-22,22.469999313354492,23.149999618530273,22.299999237060547,23.0,9558700
2026-04-23,22.170000076293945,22.700000762939453,21.690000534057617,22.264999389648438,8881300
2026-04-24,23.18000030517578,23.447999954223633,21.65999984741211,21.790000915527344,16289400
2026-04-27,23.530000686645508,23.969999313354492,22.950000762939453,23.09000015258789,14012600
2026-04-28,23.399999618530273,23.75,23.09000015258789,23.163999557495117,6621957
